name,instructions
Phenylephrine,"Why is this medication prescribed? Phenylephrine is used to relieve nasal and sinus congestion caused by colds, allergies, or sinusitis. A prescription injectable form may be used in medical settings to raise low blood pressure. How should this medicine be used? For over the counter oral use, follow the product label or your prescribers directions. Typical adult dosing is 10 milligrams by mouth every 4 hours as needed with a maximum of 60 milligrams in 24 hours. Use the lowest effective dose for the shortest time. Do not use for more than 7 days unless directed. For children use only products labeled for their age and follow dosing carefully. How should this medicine be used if it is a nasal spray or drops? Use exactly as directed, usually 1 to 2 sprays or drops in each nostril every 4 hours as needed for up to 3 days to avoid rebound congestion. Do not share the bottle and avoid contaminating the tip. What special precautions should I follow? Do not use if you are taking or have taken a monoamine oxidase inhibitor within the last 14 days. Tell your doctor if you have high blood pressure, heart disease, diabetes, thyroid disease, glaucoma, an enlarged prostate, or if you are pregnant or breastfeeding. Avoid taking other cold or allergy products that also contain decongestants or stimulants. Phenylephrine may cause nervousness or trouble sleeping so avoid taking it near bedtime. What special dietary instructions should I follow? Limit caffeine and other stimulants which can increase side effects such as jitteriness and rapid heartbeat. Drink plenty of fluids if you are congested. What should I do if I forget a dose? This medicine is usually taken as needed. If you are on a schedule, take it when you remember, but skip it if it is almost time for your next dose. Do not take two doses at once. What side effects can this medication cause? Common effects include nervousness, dizziness, headache, increased blood pressure, palpitations, and trouble sleeping. Stop use and seek medical help for chest pain, severe or persistent headache, rapid or irregular heartbeat, severe high blood pressure symptoms, or signs of an allergic reaction such as rash, swelling, or trouble breathing."
Pyrethrin and Piperonyl Butoxide Topical,"Why is this medication prescribed? Pyrethrin with piperonyl butoxide is used to treat head lice and their eggs and may also be used for pubic lice when directed. It kills live lice but not all eggs, so retreatment is often needed. How should this medicine be used? For head lice apply to dry hair and scalp enough to thoroughly wet the hair. Leave on for 10 minutes, then add a small amount of water, lather, and rinse thoroughly. Use a fine tooth nit comb to remove lice and nits while the hair is still damp. Repeat in 7 to 10 days to kill newly hatched lice unless your clinician advises otherwise. Treat close contacts as recommended and wash or heat dry clothing, hats, bedding, and combs used within the prior 48 hours. Avoid contact with eyes, nose, and mouth. Do not use on eyelashes or eyebrows. What special precautions should I follow? Do not use if you are allergic to pyrethrins, chrysanthemums, or ragweed. Use with caution if you have asthma or very sensitive skin. For external use only. Do not use on broken or inflamed skin. Keep away from open flame because the product may be flammable. Ask a clinician before use in children under 2 years, during pregnancy, or while breastfeeding. What special dietary instructions should I follow? No special dietary instructions are needed. What should I do if I forget a dose? Apply as soon as you remember if lice are still present, then continue with the planned retreatment schedule. Do not apply more often than directed. What side effects can this medication cause? Mild itching, redness, tingling, or burning of the scalp are common and usually temporary. Stop use and seek medical help if you develop swelling, hives, trouble breathing, or severe irritation."
Antipyrine-Benzocaine Otic,"Why is this medication prescribed? Antipyrine and benzocaine ear drops are used to relieve ear pain and pressure and to help soften earwax, often alongside other treatments for ear conditions. How should this medicine be used? Warm the bottle in your hands. Lie with the affected ear upward. Instill enough drops to fill the ear canal as directed. Insert a clean cotton plug if advised and moisten it with a few drops. For pain you may repeat every 1 to 2 hours as needed or as directed. For earwax softening use drops up to 3 times daily for 2 to 3 days before earwax removal as instructed by your clinician. Do not use if you have a perforated eardrum or ear tubes unless directed by a clinician. Do not touch the dropper tip to the ear or any surface. What special precautions should I follow? Do not use if you are allergic to benzocaine, other local anesthetics, or antipyrine. Seek medical evaluation for severe pain, fever, drainage, trauma, or hearing loss. For ear use only. Keep out of reach of children. Use with caution in infants and young children because benzocaine can rarely cause methemoglobinemia. What special dietary instructions should I follow? No special dietary instructions are needed. What should I do if I forget a dose? This medicine is often used as needed. If on a schedule, use it when you remember unless it is close to the next dose. Do not double doses. What side effects can this medication cause? Mild local irritation, redness, or itching can occur. Stop use and seek immediate medical help if you notice gray or blue colored skin, shortness of breath, extreme fatigue, fast heart rate, or confusion which may indicate methemoglobinemia, or if you have signs of a severe allergic reaction."
Hydrocortisone Injection,"Why is this medication prescribed? Hydrocortisone injection is a corticosteroid used to treat adrenal insufficiency, severe allergic reactions, asthma or chronic obstructive pulmonary disease exacerbations, certain autoimmune and inflammatory conditions, and some forms of shock. How should this medicine be used? It is usually given by a healthcare professional into a vein or muscle. Dose and duration are individualized. If you have adrenal insufficiency, your clinician may provide an emergency injection kit and instructions for use during illness or injury and will advise you to wear medical identification. Do not stop long term corticosteroids suddenly without medical guidance because of the risk of adrenal crisis. What special precautions should I follow? Tell your clinician about infections, recent exposure to chickenpox or measles, diabetes, high blood pressure, glaucoma or cataracts, osteoporosis, stomach ulcers, mood disorders, seizure disorder, liver disease, or pregnancy or breastfeeding. Hydrocortisone can increase infection risk and may mask signs of infection. Avoid live vaccines while on significant immunosuppressive doses. Many medicines can interact, including certain antifungals, antibiotics, seizure medicines, and HIV medicines. What special dietary instructions should I follow? Your clinician may advise limiting sodium, ensuring enough calcium and vitamin D, and managing carbohydrates if you have diabetes or steroid induced hyperglycemia. Maintain adequate hydration. What should I do if I forget a dose? If you are on a scheduled regimen, take the missed dose as soon as you remember unless it is almost time for the next dose, then skip the missed dose. Do not take two doses at once. If you have adrenal insufficiency and symptoms of adrenal crisis occur, use your emergency injection as instructed and seek emergency care. What side effects can this medication cause? Common effects include fluid retention, swelling, increased appetite, weight gain, mood changes, anxiety or insomnia, elevated blood pressure, elevated blood sugar, stomach upset, acne, and increased sweating. Serious effects include signs of infection, vision changes or eye pain, severe mood or behavior changes, stomach bleeding, pancreatitis, severe muscle or bone pain, hip or shoulder pain suggestive of avascular necrosis, and adrenal suppression. Injection site pain or infection can occur."
Methylprednisolone Injection,"Important warning: Serious neurologic adverse reactions including spinal cord infarction, paraplegia, quadriplegia, cortical blindness, and stroke have occurred with epidural administration of corticosteroids. Methylprednisolone injection should not be given by epidural or intrathecal routes. Corticosteroids can suppress the immune system, increase the risk of serious infections, and mask signs of infection. Do not stop long term therapy suddenly because of the risk of adrenal crisis. Why is this medication prescribed? Methylprednisolone injection is a corticosteroid used to treat severe allergic reactions, asthma or chronic obstructive pulmonary disease exacerbations, autoimmune and inflammatory disorders, multiple sclerosis exacerbations, and other conditions as determined by your clinician. How should this medicine be used? It is given by a healthcare professional into a vein or muscle. Dose and duration are individualized based on the condition and response. Do not use by epidural or intrathecal routes. If used for more than a few days, your clinician may taper the dose to prevent adrenal suppression. What special precautions should I follow? Tell your clinician if you have current or recent infection, exposure to chickenpox or measles, diabetes, high blood pressure, glaucoma or cataracts, osteoporosis, stomach ulcers, psychiatric history, seizure disorder, liver or kidney disease, myasthenia gravis, or if you are pregnant or breastfeeding. Avoid live vaccines while receiving immunosuppressive doses. Some formulations contain benzyl alcohol which should not be used in newborns. Many medicines interact including certain antifungals, antibiotics, seizure medicines, blood thinners, and HIV medicines. What special dietary instructions should I follow? You may be advised to limit sodium, ensure adequate calcium and vitamin D, and manage carbohydrate intake to control blood sugar. Maintain adequate hydration. What should I do if I forget a dose? If you are on a scheduled regimen, take the missed dose when you remember unless it is close to the next dose. Do not take two doses at once. If you are using a taper, contact your clinician for instructions. What side effects can this medication cause? Common effects include fluid retention, swelling, increased appetite, weight gain, mood changes, anxiety or insomnia, elevated blood pressure, elevated blood sugar, stomach upset, acne, and increased sweating. Serious effects include severe infection, vision changes or eye pain, stomach bleeding, pancreatitis, severe mood or behavior changes, muscle weakness, bone loss, hip or shoulder pain suggestive of avascular necrosis, and adrenal suppression. Injection site reactions can occur."
Chlordiazepoxide,"Important warning: Chlordiazepoxide is a benzodiazepine. Taking benzodiazepines with opioids can cause profound sedation, severe respiratory depression, coma, and death. Use together only when alternatives are inadequate and with close monitoring. Benzodiazepines can cause misuse, abuse, and addiction, and can lead to physical dependence. Do not stop suddenly after long term use because withdrawal reactions can be severe or life threatening. Why is this medication prescribed? Chlordiazepoxide is used to treat anxiety disorders and symptoms of acute alcohol withdrawal. How should this medicine be used? Take by mouth exactly as prescribed, with or without food. Doses for anxiety are usually divided 3 or 4 times daily. Doses for alcohol withdrawal may be higher at first and then tapered. Use the lowest effective dose for the shortest duration. Do not increase the dose or take more often than prescribed. Do not stop suddenly. Your clinician will guide a gradual taper to reduce withdrawal risk. What special precautions should I follow? Tell your clinician if you use opioids, alcohol, or other sedatives. Avoid alcohol. Tell your clinician if you have liver disease, kidney disease, breathing problems, sleep apnea, depression or other mental health conditions, a history of substance use disorder, glaucoma, or if you are pregnant or breastfeeding. This medicine may cause drowsiness, dizziness, and impaired coordination; do not drive or operate machinery until you know how it affects you. Many medicines can interact including strong inhibitors or inducers of liver enzymes. Older adults are at higher risk of confusion, falls, and fractures. What special dietary instructions should I follow? Avoid alcohol. If you are sensitive to grapefruit or grapefruit juice, ask your clinician or pharmacist about potential interactions. What should I do if I forget a dose? Take it when you remember unless it is almost time for the next dose. Do not take two doses at once. What side effects can this medication cause? Common effects include drowsiness, dizziness, fatigue, confusion, blurred vision, dry mouth, constipation, or coordination problems. Serious effects include severe sedation or breathing problems, agitation, worsening depression, suicidal thoughts, yellowing of the skin or eyes, severe rash, or unusual bleeding. Seek emergency help for trouble breathing or unresponsiveness, especially if taken with opioids or alcohol."
Tetrahydrozoline Ophthalmic,"Why is this medication prescribed? Tetrahydrozoline ophthalmic is used to relieve eye redness due to minor irritation. How should this medicine be used? Wash hands before use. Remove contact lenses. Instill 1 drop in the affected eye every 4 hours as needed. Do not use more than 72 hours in a row to avoid rebound redness. Do not touch the dropper tip to any surface and recap after use. Do not use while wearing contact lenses. What special precautions should I follow? Do not use if you have narrow angle glaucoma unless directed by a clinician. Stop use and seek care for eye pain, changes in vision, continued redness, or if redness lasts more than 72 hours. Keep out of reach of children because accidental ingestion can cause serious harm such as low heart rate, sleepiness, and low body temperature. Ask your clinician before use during pregnancy or breastfeeding or in young children. What special dietary instructions should I follow? No special dietary instructions are needed. What should I do if I forget a dose? Use as needed. If you are on a schedule, use when you remember unless it is close to the next dose. Do not use extra drops to make up a missed dose. What side effects can this medication cause? Mild transient stinging or burning, temporary blurred vision, or eye irritation may occur. Overuse can cause rebound redness. Seek medical help for severe eye pain, persistent vision changes, severe headache with eye pain, or signs of an allergic reaction."
Abacavir,"Important warning: Abacavir can cause a serious and sometimes fatal hypersensitivity reaction that is more likely if you have the HLA B*5701 gene variant. You must be tested for HLA B*5701 before starting abacavir. Stop abacavir and seek emergency care if you develop symptoms of hypersensitivity which may include fever, rash, malaise or fatigue, gastrointestinal symptoms such as nausea, vomiting, diarrhea, or abdominal pain, or respiratory symptoms such as cough, sore throat, or shortness of breath. Never restart abacavir if you have had a suspected hypersensitivity reaction. Why is this medication prescribed? Abacavir is an antiretroviral medicine used with other medicines to treat human immunodeficiency virus infection. How should this medicine be used? Take exactly as prescribed, usually 300 milligrams twice daily or 600 milligrams once daily, with or without food. Take doses at the same times every day. Do not miss doses or stop unless your clinician tells you to. Abacavir should always be used in combination with other antiretrovirals. What special precautions should I follow? Tell your clinician if you have liver disease, risk factors for heart disease, or if you drink alcohol. Abacavir is not recommended in moderate or severe liver disease. Tell your clinician if you are pregnant or planning pregnancy. Do not breastfeed if you have HIV. Many medicines can interact; review all medicines and supplements with your clinician. Be aware of possible immune reconstitution inflammatory syndrome when starting therapy. What special dietary instructions should I follow? You may take abacavir with or without food. Limit alcohol because it can increase abacavir levels and liver stress. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose. Do not take two doses at once. If you have stopped abacavir for any reason and have symptoms suggestive of hypersensitivity or if the cause of prior symptoms is uncertain, do not restart abacavir and contact your clinician immediately. What side effects can this medication cause? Common effects include nausea, vomiting, headache, fatigue, and rash. Serious effects include hypersensitivity reaction, liver problems such as jaundice or dark urine, lactic acidosis with severe weakness or unusual muscle pain, and chest pain or shortness of breath. Seek medical help right away for signs of hypersensitivity or severe side effects."
"Abacavir, Dolutegravir, and Lamivudine","Important warning: This medicine contains abacavir which can cause a serious and sometimes fatal hypersensitivity reaction that is more likely if you have the HLA B*5701 gene variant. You must be tested for HLA B*5701 before starting. Stop the medicine and seek emergency care if you develop symptoms such as fever, rash, malaise or fatigue, gastrointestinal symptoms like nausea, vomiting, diarrhea, or abdominal pain, or respiratory symptoms like cough, sore throat, or shortness of breath. Never restart if you had a suspected hypersensitivity reaction. In people with hepatitis B virus infection, stopping lamivudine can cause a serious flare of hepatitis. Why is this medication prescribed? The fixed dose combination of abacavir, dolutegravir, and lamivudine treats human immunodeficiency virus infection and is used as a complete regimen in appropriate patients. How should this medicine be used? Take one tablet once daily at the same time each day, with or without food. If you take antacids or iron or calcium supplements, take this medicine at least 2 hours before or 6 hours after those products. Do not take with dofetilide. Do not miss doses or stop unless directed by your clinician. What special precautions should I follow? Tell your clinician if you have liver disease or hepatitis B infection, kidney problems, or if you are pregnant or planning pregnancy. Your clinician may check hepatitis B status and liver tests and may prescribe additional hepatitis B treatment if needed. Dolutegravir can interact with many medicines including metformin, multivitamins or supplements containing polyvalent cations, certain anticonvulsants, rifampin, and St Johns wort. This product is not recommended if your creatinine clearance is less than 50 milliliters per minute. Watch for depression or insomnia and report new or worsening mood symptoms. Do not breastfeed if you have HIV. What special dietary instructions should I follow? You may take with or without food. Separate dosing from antacids or iron or calcium supplements as described. What should I do if I forget a dose? Take it as soon as you remember if it is within about 12 hours of your usual time. If it is close to the time for your next dose, skip the missed dose and take the next dose at the regular time. Do not take two doses at once. If you vomit within 1 hour after taking a dose, take another dose. Do not restart the medicine after a break if you had any signs of abacavir hypersensitivity without first speaking to your clinician. What side effects can this medication cause? Common effects include headache, nausea, diarrhea, and insomnia. Weight gain can occur. Serious effects include hypersensitivity reaction, liver problems including hepatitis flares after stopping in people with hepatitis B, lactic acidosis with severe weakness or unusual muscle pain, depression or suicidal thoughts, and severe skin reactions. Immune reconstitution inflammatory syndrome can occur when starting therapy."
"Abacavir, Lamivudine, and Zidovudine","Important warning: This medicine contains abacavir which can cause a serious and sometimes fatal hypersensitivity reaction that is more likely if you have the HLA B*5701 gene variant. You must be tested for HLA B*5701 before starting. Stop the medicine and seek emergency care if you develop symptoms such as fever, rash, malaise or fatigue, gastrointestinal symptoms like nausea, vomiting, diarrhea, or abdominal pain, or respiratory symptoms like cough, sore throat, or shortness of breath. Never restart if you had a suspected hypersensitivity reaction. This medicine also carries a risk of lactic acidosis and severe liver enlargement with fatty liver. Zidovudine can cause bone marrow suppression leading to anemia and neutropenia, and long term use can cause muscle weakness. In people with hepatitis B infection, stopping lamivudine can cause a serious flare of hepatitis. Why is this medication prescribed? The fixed dose combination of abacavir, lamivudine, and zidovudine is used with or without other antiretroviral agents to treat human immunodeficiency virus infection. How should this medicine be used? Take one tablet by mouth twice daily with or without food. Take doses at the same times every day. Do not miss doses or stop unless directed by your clinician. This product may not be suitable if you have significant kidney impairment because lamivudine requires dose adjustment. What special precautions should I follow? Tell your clinician if you have liver disease, hepatitis B or C infection, kidney disease, low blood counts, anemia, or neutropenia, or if you are pregnant or planning pregnancy. Your clinician will check blood counts regularly. Many medicines can interact including ribavirin, doxorubicin, other medicines that affect bone marrow, and alcohol. Do not breastfeed if you have HIV. What special dietary instructions should I follow? You may take with or without food and should limit alcohol to reduce liver stress. Ensure adequate nutrition to support blood counts as advised by your clinician. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose, then skip the missed dose and take the next dose at the regular time. Do not take two doses at once. If you vomit within 1 hour after a dose, take another dose. Do not restart the medicine after a break if you had any signs of abacavir hypersensitivity without first speaking to your clinician. What side effects can this medication cause? Common effects include nausea, headache, fatigue, and trouble sleeping. Serious effects include hypersensitivity reaction, anemia, neutropenia, lactic acidosis with severe weakness or unusual muscle pain, liver problems with jaundice or dark urine, pancreatitis, and muscle pain or weakness. Skin or nail discoloration can occur. Seek medical help for shortness of breath, chest pain, severe fatigue, or signs of infection such as fever or persistent sore throat."
